UID,NERC,Region,Start,End,Center,Center_DOY,T_Max_Min,Duration,Regions_Impacted
HW_NERC2_Event76,2,ERCOT,2023-06-18,2023-06-29,2023-06-23,174,106.6,12,1.0
HW_NERC2_Event77,2,ERCOT,2023-07-10,2023-08-26,2023-08-02,214,106.87,48,2.0
HW_NERC2_Event78,2,ERCOT,2023-09-04,2023-09-09,2023-09-06,249,104.4,6,7.0
HW_NERC2_Event79,2,ERCOT,2024-07-02,2024-07-03,2024-07-02,184,101.92,2,1.0
HW_NERC2_Event80,2,ERCOT,2024-08-07,2024-08-08,2024-08-07,220,102.88,2,5.0
HW_NERC2_Event81,2,ERCOT,2024-08-16,2024-08-24,2024-08-20,233,104.82,9,2.0
HW_NERC3_Event1,3,FL,1980-07-10,1980-07-15,1980-07-12,194,96.28,6,7.0
HW_NERC3_Event2,3,FL,1980-08-03,1980-08-03,1980-08-03,216,93.7,1,4.0
HW_NERC3_Event3,3,FL,1981-06-10,1981-06-19,1981-06-14,165,97.92,10,2.0
HW_NERC3_Event4,3,FL,1981-06-21,1981-06-22,1981-06-21,172,94.84,2,3.0
HW_NERC3_Event5,3,FL,1981-07-06,1981-07-17,1981-07-11,192,96.87,12,7.0
HW_NERC3_Event6,3,FL,1981-07-27,1981-07-28,1981-07-27,208,94.54,2,1.0
HW_NERC3_Event7,3,FL,1983-07-16,1983-07-18,1983-07-17,198,94.68,3,5.0
HW_NERC3_Event8,3,FL,1983-07-23,1983-07-25,1983-07-24,205,94.16,3,2.0
HW_NERC3_Event9,3,FL,1983-08-20,1983-08-22,1983-08-21,233,94.98,3,3.0
HW_NERC3_Event10,3,FL,1985-06-01,1985-06-09,1985-06-05,156,97.31,9,1.0
HW_NERC3_Event11,3,FL,1986-07-17,1986-07-20,1986-07-18,199,95.22,4,4.0
HW_NERC3_Event12,3,FL,1986-07-31,1986-08-02,1986-08-01,213,95.14,3,3.0
HW_NERC3_Event13,3,FL,1987-07-12,1987-07-13,1987-07-12,193,94.25,2,5.0
HW_NERC3_Event14,3,FL,1987-07-23,1987-07-24,1987-07-23,204,94.1,2,5.0
HW_NERC3_Event15,3,FL,1987-08-05,1987-08-10,1987-08-07,219,97.26,6,2.0
HW_NERC3_Event16,3,FL,1987-08-30,1987-08-30,1987-08-30,242,93.67,1,3.0
