NERC_ID,start_date,end_date,duration,centroid_date,lowest_temperature
Florida,1996-03-09,1996-03-11,3,1996-03-10,274.784096398079
Florida,1996-12-20,1996-12-21,2,1996-12-20,275.079750858033
Florida,1997-01-17,1997-01-20,4,1997-01-18,271.78791278184
Florida,1997-12-07,1997-12-07,1,1997-12-07,275.779002587592
Florida,1997-12-29,1997-12-29,1,1997-12-29,276.870591531566
Florida,1997-12-31,1998-01-01,2,1997-12-31,276.741240681086
Florida,1998-03-11,1998-03-13,3,1998-03-12,274.530931564051
Florida,1999-01-05,1999-01-07,3,1999-01-06,273.269986300619
Florida,1999-02-14,1999-02-14,1,1999-02-14,276.40547681644
Florida,1999-02-23,1999-02-24,2,1999-02-23,276.593399944135
Florida,1999-12-25,1999-12-27,3,1999-12-26,275.152226014437
Florida,2000-01-22,2000-01-22,1,2000-01-22,275.958255344349
Florida,2000-01-25,2000-01-28,4,2000-01-26,273.512107090984
Florida,2000-02-05,2000-02-06,2,2000-02-05,276.391540580542
Florida,2000-11-21,2000-11-23,3,2000-11-22,275.611881283116
Florida,2000-12-05,2000-12-05,1,2000-12-05,275.888820737291
Florida,2000-12-18,2000-12-22,5,2000-12-20,272.803763558539
Florida,2000-12-30,2001-01-06,8,2001-01-02,271.827620123046
Florida,2001-01-09,2001-01-10,2,2001-01-09,275.209934209622
Florida,2001-01-22,2001-01-26,5,2001-01-24,275.228469575471
Florida,2001-03-07,2001-03-07,1,2001-03-07,276.618506368314
Florida,2001-12-27,2001-12-27,1,2001-12-27,276.988270902638
Florida,2002-01-03,2002-01-05,3,2002-01-04,274.950530956701
Florida,2002-01-08,2002-01-09,2,2002-01-08,275.19704995687
Florida,2002-02-28,2002-02-28,1,2002-02-28,275.772709157733
Florida,2002-12-27,2002-12-28,2,2002-12-27,276.003651313406
Florida,2003-01-05,2003-01-08,4,2003-01-06,276.453915779183
Florida,2003-01-17,2003-01-20,4,2003-01-18,273.83693694724
Florida,2003-01-23,2003-01-27,5,2003-01-25,272.855814483601
Florida,2003-12-19,2003-12-21,3,2003-12-20,274.965772127886
Florida,2004-01-11,2004-01-12,2,2004-01-11,276.455830096277
Florida,2004-01-29,2004-01-29,1,2004-01-29,276.756714141435
Florida,2004-12-15,2004-12-16,2,2004-12-15,275.628967142112
Florida,2004-12-20,2004-12-21,2,2004-12-20,275.474124924602
Florida,2004-12-27,2004-12-27,1,2004-12-27,276.674647577016
Florida,2005-01-17,2005-01-19,3,2005-01-18,274.990533220947
Florida,2005-01-23,2005-01-25,3,2005-01-24,273.932853912471
Florida,2005-02-12,2005-02-12,1,2005-02-12,276.475435894286
Florida,2005-12-22,2005-12-23,2,2005-12-22,276.364552450978
Florida,2006-01-07,2006-01-08,2,2006-01-07,276.116415056759
Florida,2006-02-12,2006-02-14,3,2006-02-13,274.926121398987
Florida,2006-12-09,2006-12-09,1,2006-12-09,276.934797447215
Florida,2007-01-30,2007-01-30,1,2007-01-30,276.110628153551
Florida,2007-02-16,2007-02-19,4,2007-02-17,274.785750579838
Florida,2008-01-03,2008-01-04,2,2008-01-03,272.824051842767
Florida,2008-02-28,2008-02-28,1,2008-02-28,276.531101632884
Florida,2008-11-18,2008-11-19,2,2008-11-18,276.467905210752
Florida,2009-01-15,2009-01-17,3,2009-01-16,275.540580325781
Florida,2009-01-21,2009-01-23,3,2009-01-22,273.485023980073
Florida,2009-02-04,2009-02-06,3,2009-02-05,272.396045696824
Florida,2009-03-02,2009-03-04,3,2009-03-03,274.382832815425
Florida,2010-01-03,2010-01-13,11,2010-01-08,270.819285346403
Florida,2010-02-11,2010-02-19,9,2010-02-15,274.745283155939
Florida,2010-02-26,2010-02-28,3,2010-02-27,275.673200975252
Florida,2010-03-04,2010-03-06,3,2010-03-05,275.382689589168
Florida,2010-12-03,2010-12-03,1,2010-12-03,276.877095455746
Florida,2010-12-06,2010-12-09,4,2010-12-07,272.39571064486
Florida,2010-12-13,2010-12-16,4,2010-12-14,270.960167578317
Florida,2010-12-26,2010-12-29,4,2010-12-27,272.824725485446
Florida,2011-01-12,2011-01-15,4,2011-01-13,273.174302927275
Florida,2012-01-03,2012-01-05,3,2012-01-04,273.1776890689
Florida,2012-01-14,2012-01-15,2,2012-01-14,276.620014408978
Florida,2012-02-12,2012-02-13,2,2012-02-12,275.202241735887
Florida,2012-12-22,2012-12-23,2,2012-12-22,276.161895060486
Florida,2013-02-02,2013-02-03,2,2013-02-02,276.622048154914
Florida,2013-02-18,2013-02-18,1,2013-02-18,276.699865854842
Florida,2013-03-03,2013-03-04,2,2013-03-03,276.213286444509
Florida,2013-03-27,2013-03-27,1,2013-03-27,276.85685070579
