NERC_ID,start_date,end_date,duration,centroid_date,highest_temperature
Great Basin,2016-06-20,2016-06-22,3,2016-06-21,302.777022606524
Great Basin,2016-06-28,2016-06-28,1,2016-06-28,301.978439660655
Great Basin,2016-07-24,2016-07-30,7,2016-07-27,303.216458121389
Great Basin,2017-07-04,2017-07-09,6,2017-07-06,303.752707395565
Great Basin,2017-08-28,2017-08-29,2,2017-08-28,302.43397083857
Great Basin,2017-09-03,2017-09-04,2,2017-09-03,302.577506149229
Great Basin,2018-06-27,2018-06-27,1,2018-06-27,301.989166908799
Great Basin,2018-07-06,2018-07-09,4,2018-07-07,302.870980299172
Great Basin,2018-07-18,2018-07-20,3,2018-07-19,302.708671941505
Great Basin,2018-07-30,2018-08-01,3,2018-07-31,302.735777573739
Great Basin,2018-08-08,2018-08-12,5,2018-08-10,304.066444007771
Great Basin,2019-07-22,2019-07-23,2,2019-07-22,302.596399866785
Great Basin,2019-08-05,2019-08-06,2,2019-08-05,302.428259908704
Great Basin,2019-08-20,2019-08-21,2,2019-08-20,302.038667762317
Great Basin,2019-09-01,2019-09-02,2,2019-09-01,302.053442589103
Great Basin,2020-07-11,2020-07-12,2,2020-07-11,302.580831621184
Great Basin,2020-07-30,2020-08-05,7,2020-08-02,303.883443435628
Great Basin,2020-08-15,2020-08-24,10,2020-08-19,304.571472566792
Great Basin,2020-09-04,2020-09-06,3,2020-09-05,303.320801882811
Great Basin,2021-06-13,2021-06-17,5,2021-06-15,304.333946683545
Great Basin,2021-06-21,2021-06-22,2,2021-06-21,302.130129840174
Great Basin,2021-07-03,2021-07-13,11,2021-07-08,304.890486973787
Great Basin,2021-07-17,2021-07-19,3,2021-07-18,302.683676449764
Great Basin,2021-07-27,2021-07-27,1,2021-07-27,301.957146882762
Great Basin,2021-08-05,2021-08-05,1,2021-08-05,301.973139701755
Great Basin,2021-08-12,2021-08-15,4,2021-08-13,302.918621556003
